"country","iso2c","iso3c","year","status","lastupdated","gni_per_capita","gdp_per_capita","population","trade_gdp","region","capital","longitude","latitude","income","lending","high_income_threshold","running_var","treatment","running_var_centered"
"Libya","LY","LBY",2023,"","2025-04-15",5940,6172.81246940233,7305659,155.655201664179,"Middle East & North Africa","Tripoli","13.1072","32.8578","Upper middle income","IBRD",14005,-8065,0,-8.065
"Malaysia","MY","MYS",2023,"","2025-04-15",11710,11379.0861000632,35126298,132.064307278667,"East Asia & Pacific","Kuala Lumpur","101.684","3.12433","Upper middle income","IBRD",14005,-2295,0,-2.295
"Maldives","MV","MDV",2023,"","2025-04-15",11070,12530.3602359683,525994,150.032369927009,"South Asia","Male","73.5109","4.1742","Upper middle income","IDA",14005,-2935,0,-2.935
"Marshall Islands","MH","MHL",2023,"","2025-04-15",7860,6678.34239060448,38827,110.172232934825,"East Asia & Pacific","Majuro","171.135","7.11046","Upper middle income","IDA",14005,-6145,0,-6.145
"Mauritius","MU","MUS",2023,"","2025-04-15",11590,11613.0441587588,1261041,107.903855233762,"Sub-Saharan Africa","Port Louis","57.4977","-20.1605","Upper middle income","IBRD",14005,-2415,0,-2.415
"Mexico","MX","MEX",2023,"","2025-04-15",11980,13790.0243428344,129739759,73.157775633035,"Latin America & Caribbean","Mexico City","-99.1276","19.427","Upper middle income","IBRD",14005,-2025,0,-2.025
"Micronesia, Fed. Sts.","FM","FSM",2023,"","2025-04-15",4250,4084.16940424398,112630,94.8821956521739,"East Asia & Pacific","Palikir","158.185","6.91771","Lower middle income","IDA",14005,-9755,0,-9.755
"Moldova","MD","MDA",2023,"","2025-04-15",6200,6729.41286813969,2457783,95.1315748916605,"Europe & Central Asia","Chisinau","28.8497","47.0167","Upper middle income","IBRD",14005,-7805,0,-7.805
"Mongolia","MN","MNG",2023,"","2025-04-15",4870,5838.63108083902,3481145,142.864246599181,"East Asia & Pacific","Ulaanbaatar","106.937","47.9129","Upper middle income","IBRD",14005,-9135,0,-9.135
"Montenegro","ME","MNE",2023,"","2025-04-15",11590,12221.4775546967,616177,118.542754014976,"Europe & Central Asia","Podgorica","19.2595","42.4602","Upper middle income","IBRD",14005,-2415,0,-2.415
"Namibia","NA","NAM",2023,"","2025-04-15",4280,4168.28521087347,2963095,109.610472332402,"Sub-Saharan Africa","Windhoek","17.0931","-22.5648","Upper middle income","IBRD",14005,-9725,0,-9.725
"Nauru","NR","NRU",2023,"","2025-04-15",23980,12982.7612060515,11875,141.359846842275,"East Asia & Pacific","Yaren District","166.920867","-0.5477","High income","IBRD",14005,9975,1,9.975
"North Macedonia","MK","MKD",2023,"","2025-04-15",7900,8624.29360948531,1827816,148.671596334608,"Europe & Central Asia","Skopje","21.4361","42.0024","Upper middle income","IBRD",14005,-6105,0,-6.105
"Oman","OM","OMN",2023,"","2025-04-15",20470,21549.8368728192,5049269,NA,"Middle East & North Africa","Muscat","58.5874","23.6105","High income","Not classified",14005,6465,1,6.465
"Palau","PW","PLW",2023,"","2025-04-15",14110,15899.4224911152,17727,NA,"East Asia & Pacific","Koror","134.479","7.34194","High income","IBRD",14005,105,1,0.105
"Panama","PA","PAN",2023,"","2025-04-15",17870,18686.4050961265,4458759,89.5330683837851,"Latin America & Caribbean","Panama City","-79.5188","8.99427","High income","IBRD",14005,3865,1,3.865
"Paraguay","PY","PRY",2023,"","2025-04-15",6220,6276.35113919957,6844146,82.9887758742076,"Latin America & Caribbean","Asuncion","-57.6362","-25.3005","Upper middle income","IBRD",14005,-7785,0,-7.785
"Peru","PE","PER",2023,"","2025-04-15",7090,7906.58502858,33845617,50.909508314535,"Latin America & Caribbean","Lima","-77.0465","-12.0931","Upper middle income","IBRD",14005,-6915,0,-6.915
"Philippines","PH","PHL",2023,"","2025-04-15",4320,3804.8725797521,114891199,67.3966204439887,"East Asia & Pacific","Manila","121.035","14.5515","Lower middle income","IBRD",14005,-9685,0,-9.685
"Poland","PL","POL",2023,"","2025-04-15",19900,22056.6661704127,36687353,110.466778966431,"Europe & Central Asia","Warsaw","21.02","52.26","High income","IBRD",14005,5895,1,5.895
"Romania","RO","ROU",2023,"","2025-04-15",16660,18404.2730871704,19059479,83.0900673956751,"Europe & Central Asia","Bucharest","26.0979","44.4479","High income","IBRD",14005,2655,1,2.655
"Russian Federation","RU","RUS",2023,"","2025-04-15",14250,13817.0458984375,143826130,41.8285251825076,"Europe & Central Asia","Moscow","37.6176","55.7558","High income","IBRD",14005,245,1,0.245
"Samoa","WS","WSM",2023,"","2025-04-15",4200,4330.17840531329,216663,90.6574805627022,"East Asia & Pacific","Apia","-171.752","-13.8314","Lower middle income","IDA",14005,-9805,0,-9.805
"Serbia","RS","SRB",2023,"","2025-04-15",10760,12281.5058488303,6623183,114.493948658228,"Europe & Central Asia","Belgrade","20.4656","44.8024","Upper middle income","IBRD",14005,-3245,0,-3.245
"Seychelles","SC","SYC",2023,"","2025-04-15",16940,17879.2396545075,119773,183.066894954317,"Sub-Saharan Africa","Victoria","55.4466","-4.6309","High income","IBRD",14005,2935,1,2.935
"Slovak Republic","SK","SVK",2023,"","2025-04-15",22790,24491.3771867262,5426740,182.314394044261,"Europe & Central Asia","Bratislava","17.1073","48.1484","High income","Not classified",14005,8785,1,8.785
"South Africa","ZA","ZAF",2023,"","2025-04-15",6480,6022.5425418935,63212384,65.1800955487645,"Sub-Saharan Africa","Pretoria","28.1871","-25.746","Upper middle income","IBRD",14005,-7525,0,-7.525
